Rte,Street Name,Address,Address,Day of,AM/PM,Side,From,To,Opt-
,,From,To,Month,,,,,out
61,Acroft Ct,1400,1498,1st Fri,AM,S,Acton,Terminus,
61,Acroft Ct,1401,1499,1st Fri,AM,N,Acton,Terminus,
61,Acton,1201,1301,1st Fri,PM,E,City Limit,Hopkins,
22,Acton,1330,1398,2nd Mon,PM,W,Gilman,Hopkins,1300
22,Acton,1329,1949,2nd Mon,PM,E,Gilman,Berkeley,
51,Acton,1330,1599,1st Thurs,PM,W,Hopkins,Keoncrest,1500
41,Acton,1331,1499,1st Wed,PM,E,Hopkins,Rose,
51,Acton,1500,1648,1st Thurs,PM,W,Keoncrest,Lincoln,
41,Acton,1601,1699,1st Wed,PM,E,Lincoln,Cedar,
51,Acton,1651,2099,1st Thurs,PM,W,Lincoln,University,
41,Acton,1651,1999,1st Wed,PM,E,Lincoln,University,
22,Acton,2000,2498,2nd Mon,AM,W,University,Dwight,
61,Acton,2001,2499,1st Fri,AM,E,University,Dwight,
62,Acton,2500,3122,2nd Fri,AM,W,Dwight,66th,
52,Acton,2501,3199,2nd Thurs,AM,E,Dwight,66th,
61,Acton Circle,2100,2198,1st Fri,AM,W,Acton Cresc,Terminus,
61,Acton Circle,2101,2199,1st Fri,AM,E,Acton Cresc,Terminus,
61,Acton Cresc,1400,1498,1st Fri,AM,S,Acton,Terminus,
61,Acton Cresc,1401,1499,1st Fri,AM,N,Acton,Terminus,
51,Ada,1360,1498,1st Thurs,PM,S,Ordway,Sacramento,
41,Ada,1381,1399,1st Wed,PM,N,Ordway,Acton,1300
41,Ada,1401,1499,1st Wed,PM,N,Acton,Sacramento,
62,Ada,1500,1598,2nd Fri,PM,S,Sacramento,McGee,
52,Ada,1501,1599,2nd Thurs,PM,N,Sacramento,Miramonte,
52,Ada,1501,1599,2nd Thurs,PM,N,Miramonte,McGee,
22,Addison,830,1498,2nd Mon,AM,S,6th,Sacramento,
61,Addison,831,1499,1st Fri,AM,N,6th,Sacramento,
21,Addison,1500,1898,1st Mon,AM,S,Sacramento,M L King,
31,Addison,1501,1899,1st Tue,AM,N,Sacramento,M L King,
62,The Alameda,1200,1298,2nd Fri,PM,W,Hopkins,Berryman,
52,The Alameda,1201,1299,2nd Thurs,PM,E,Hopkins,Yolo,
22,Albina,1300,1328,2nd Mon,PM,W,City Limit,Hopkins,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: A through G,,,,,,2
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
61,Albina,1301,1399,1st Fri,PM,E,City Limit,Hopkins,
64,Alcatraz,1700,1998,4th Fri,PM,S,City Limit,King,
54,Alcatraz,1701,1899,4th Thurs,PM,N,City Limit,King,
33,Alcatraz,2700,2798,3rd Tue,AM,S,College,Claremont,
43,Alcatraz,2701,2799,3rd Wed,AM,N,College,Claremont,
61,Allston,900,1498,1st Fri,AM,S,6th,Sacramento,
22,Allston,831,1499,2nd Mon,AM,N,6th,Sacramento,
31,Allston,1500,1898,1st Tue,AM,S,Sacramento,M L King,1700
21,Allston,1501,1899,1st Mon,AM,N,Sacramento,M L King,1700
34,Alvarado,1,141,4th Tue,AM,N,Tunnel,Bridge,
63,Alvarado,1,55,3rd Fri,AM,E,Tunnel,City Limit,
34,Alvarado,116,144,4th Tue,AM,W,City Limit,Bridge,
64,Arlington,300,974,4th Fri,PM,W,City Limit,Indian Rock,
54,Arlington,501,899,4th Thurs,PM,E,City Limit,Indian Rock,700
34,Ashby Pl,2700,2799,4th Tue,AM,N,Ashby,Ashby,
63,Ashby Pl,2700,2798,3rd Fri,AM,S,Ashby,Ashby,
44,Avalon,2940,2998,4th Wed,AM,S,Oak Knoll,Claremont,
24,Avalon,3001,3099,4th Mon,AM,N,Claremont Bl,City Limit,
44,Avalon,3000,3098,4th Wed,AM,S,Terminus,Claremont,
44,Avalon,3001,3099,4th Wed,AM,N,Claremont,Terminus,
52,Baker,3124,3204,2nd Thurs,AM,W,66th,City Limit,
62,Baker,3206,3248,2nd Fri,AM,E,66th,City Limit,
22,Bancroft,830,1498,2nd Mon,AM,S,6th,Sacramento,
61,Bancroft,901,1499,1st Fri,AM,N,6th,Sacramento,
21,Bancroft,1500,1898,1st Mon,AM,S,Sacramento,M L King,
31,Bancroft,1501,1899,1st Tue,AM,N,Sacramento,M L King,
44,Bancroft,2800,2898,4th Wed,PM,S,Piedmont,Warring,
34,Bancroft,2801,2899,4th Tue,PM,N,Piedmont,Warring,
21,Bataan,900,998,1st Mon,PM,S,7th,8th,
21,Bataan,901,999,1st Mon,PM,N,7th,8th,
41,Belvedere,1500,1698,1st Wed,PM,W,Rose,Virginia,
51,Belvedere,1501,1699,1st Thurs,PM,E,Rose,Virginia,
64,Benvenue,2500,2698,4th Fri,AM,W,Dwight,Derby,
54,Benvenue,2501,2699,4th Thurs,AM,E,Dwight,Derby,
34,Benvenue,2700,3098,4th Tue,AM,W,Derby,Woolsey,
63,Benvenue,2701,3099,3rd Fri,AM,E,Derby,Woolsey,
41,Berkeley,1300,1498,1st Wed,PM,S,Chestnut,Sacramento,
51,Berkeley,1301,1499,1st Thurs,PM,N,Chestnut,Sacramento,
32,Berkeley,1500,1698,2nd Tue,PM,S,Sacramento,McGee,1600
32,Berkeley,1700,1998,2nd Tue,PM,S,McGee,Milvia,1700
42,Berkeley,1501,1999,2nd Wed,PM,N,Sacramento,Milvia,
33,Berkeley,2000,2198,3rd Tue,PM,S,Milvia,Oxford,
23,Berkeley,2001,2199,3rd Mon,PM,N,Milvia,Oxford,
52,Berryman,1800,1820,2nd Thurs,PM,S,Terminus,Josephine,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: A through G,,,,,,3
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
52,Berryman,1801,1819,2nd Thurs,PM,N,Terminus,Josephine,
62,Berryman,1820,1998,2nd Fri,PM,S,Josephine,Milvia,
42,Blake,1100,1498,2nd Wed,AM,S,San Pablo,Sacramento,
32,Blake,1101,1499,2nd Tue,AM,N,San Pablo,Sacramento,1300
31,Blake,1500,1998,1st Tue,AM,S,Sacramento,Milvia,
21,Blake,1501,1999,1st Mon,AM,N,Sacramento,Milvia,
33,Blake,2000,2198,3rd Tue,AM,S,Milvia,Fulton,
23,Blake,2001,2199,3rd Mon,AM,N,Milvia,Fulton,
54,Blake,2200,2498,4th Thurs,AM,S,Fulton,Telegraph,
64,Blake,2201,2499,4th Fri,AM,N,Fulton,Telegraph,
62,Boise,3124,3248,2nd Fri,AM,W,66th,Harmon,
52,Boise,3201,3299,2nd Thurs,AM,E,66th,Harmon,
22,Bonar,2000,2498,2nd Mon,AM,W,University,Dwight,
61,Bonar,2001,2499,1st Fri,AM,E,University,Dwight,
52,Bonita,1200,1598,2nd Thurs,PM,W,Yolo,Cedar,1300
62,Bonita,1201,1599,2nd Fri,PM,E,Yolo,Cedar,
42,Bonita,1600,1698,2nd Wed,PM,W,Cedar,Virginia,
32,Bonita,1600,1698,2nd Tue,PM,E,Cedar,Virginia,
32,Bonita,1801,1899,2nd Tue,PM,E,Delaware,Terminus,
32,Bonita,1801,1899,2nd Tue,PM,E,Terminus,Hearst,
32,Bonita,1900,1923,2nd Tue,PM,E/W,Hearst,Berkeley,
34,Bridge,0,30,4th Tue,AM,W,Tunnel,Alvarado,
63,Bridge,1,29,3rd Fri,AM,E,Tunnel,Alvarado,
34,Brookside Ave,2,40,4th Tue,AM,W,Claremont,Cul De Sac,
34,Brookside Ave,1,39,4th Tue,AM,E,Claremont,Cul De Sac,
34,Brookside Dr,100,190,4th Tue,AM,E/W,Claremont,Claremont,
61,Browning,2100,2498,1st Fri,AM,W,Addison,Dwight,
22,Browning,2101,2499,2nd Mon,AM,E,Addison,Dwight,
52,Buena,1521,1526,2nd Thurs,PM,N/S,Terminus,Holly,
52,Buena,1530,1738,2nd Thurs,PM,S,Holly,Cypress,1700
52,Buena,1501,1599,2nd Thurs,PM,N,Terminus,Holly,
62,Buena,1501,1699,2nd Fri,PM,N,Holly,Cypress,1700
32,Burnett,1200,1498,2nd Tue,AM,S,San Pablo,Sacramento,
42,Burnett,1201,1399,2nd Wed,AM,N,San Pablo,Acton,
61,Byron,2100,2498,1st Fri,AM,W,Addison,Dwight,
22,Byron,2101,2499,2nd Mon,AM,E,Addison,Dwight,
32,California,1330,1798,2nd Tue,PM,W,Terminus,Delaware,1300
52,California,1400,1598,2nd Thurs,PM,W,Ada,Cedar,
62,California,1401,1599,2nd Fri,PM,E,Ada,Cedar,1300
42,California,1600,1798,2nd Wed,PM,W,Cedar,Delaware,
32,California,1601,1799,2nd Tue,PM,E,Cedar,Delaware,
42,California,1900,1998,2nd Wed,PM,W,Hearst,University,
32,California,1901,1999,2nd Tue,PM,E,Hearst,University,
41,California,2000,2898,1st Wed,AM,W,University,Russell,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: A through G,,,,,,4
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
51,California,2001,2899,1st Thurs,AM,E,University,Russell,
41,California,2900,3398,1st Wed,AM,W,Russell,City Limit,
51,California,2901,3499,1st Thurs,AM,E,Russell,City Limit,
21,Camelia,830,1098,1st Mon,PM,S,6th,San Pablo,
31,Camelia,831,1099,1st Tue,PM,N,6th,San Pablo,
61,Camelia,1100,1298,1st Fri,PM,S,San Pablo,Santa Fe,
22,Camelia,1101,1299,2nd Mon,PM,N,San Pablo,Talbot,
42,Carleton,1100,1498,2nd Wed,AM,S,San Pablo,Sacramento,
32,Carleton,1101,1499,2nd Tue,AM,N,San Pablo,Sacramento,
31,Carleton,1500,1998,1st Tue,AM,S,Sacramento,Milvia,
21,Carleton,1501,1999,1st Mon,AM,N,Sacramento,Milvia,
33,Carleton,2000,2198,3rd Tue,AM,S,Milvia,Fulton,
23,Carleton,2001,2199,3rd Mon,AM,N,Milvia,Fulton,
54,Carleton,2200,2424,4th Thurs,AM,S,Fulton,Telegraph,
64,Carleton,2201,2499,4th Fri,AM,N,Fulton,Telegraph,
53,Carlotta,1200,1298,3rd Thurs,PM,W,Posen,Hopkins,
43,Carlotta,1201,1299,3rd Wed,PM,E,Posen,Hopkins,1200
62,Carlotta,1300,1398,2nd Fri,PM,W,Hopkins,Rose,
52,Carlotta,1301,1399,2nd Thurs,PM,E,Hopkins,Rose,
42,Carrison,1200,1398,2nd Wed,AM,S,San Pablo,Acton,
32,Carrison,1201,1399,2nd Tue,AM,N,San Pablo,Acton,
53,Catalina,1800,1898,3rd Thurs,PM,S,Colusa,The Alameda,
43,Catalina,1801,1899,3rd Wed,PM,N,Station Pl,The Alameda,
31,Cedar,830,1099,1st Tue,PM,S,6th,San Pablo,
21,Cedar,831,1099,1st Mon,PM,N,6th,San Pablo,
51,Cedar,1100,1498,1st Thurs,PM,S,Hopkins,Sacramento,
41,Cedar,1201,1499,1st Wed,PM,N,Hopkins,Sacramento,
52,Cedar,1500,1576,2nd Thurs,PM,S,Sacramento,Comstock,
52,Cedar,1576,1998,2nd Thurs,PM,S,Comstock,Milvia,
62,Cedar,1501,1999,2nd Fri,PM,N,Sacramento,Milvia,
43,Cedar,2000,2098,3rd Wed,PM,S,Milvia,Shattuck,
53,Cedar,2001,2099,3rd Thurs,PM,N,Milvia,Shattuck,600
34,Chabolyn Terr,152,222,4th Tue,AM,S,City Limit,City Limit,
63,Chabolyn Terr,6001,6039,3rd Fri,AM,N,City Limit,Roslyn,
61,Channing,900,1498,1st Fri,AM,S,6th,Sacramento,
22,Channing,831,1499,2nd Mon,AM,N,6th,Sacramento,
31,Channing,1500,1898,1st Tue,AM,S,Sacramento,M L King,
21,Channing,1501,1899,1st Mon,AM,N,Sacramento,M L King,
23,Channing,2200,2398,3rd Mon,PM,S,Fulton,Dana,
33,Channing,2201,2399,3rd Tue,PM,N,Fulton,Dana,
34,Channing,2800,2998,4th Tue,PM,S,Piedmont,Prospect,
44,Channing,2800,2998,4th Wed,PM,N,Piedmont,Prospect,
61,Chaucer,1100,1198,1st Fri,AM,S,San Pablo,Curtis,
22,Chaucer,1101,1199,2nd Mon,AM,N,San Pablo,Curtis,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: A through G,,,,,,5
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
44,Cherry,2800,2898,4th Wed,AM,W,Stuart,Russell,
24,Cherry,2801,2899,4th Mon,AM,E,Stuart,Russell,
51,Chestnut,1500,1998,1st Thurs,PM,W,Rose,University,
41,Chestnut,1601,1699,1st Wed,PM,E,Lincoln,Rose,
41,Chestnut,1701,1999,1st Wed,PM,E,Virginia,University,
54,Chilton,2550,2598,4th Thurs,AM,W,Blake,Parker,
64,Chilton,2551,2599,4th Fri,AM,E,Blake,Parker,
24,Claremont Ave,2940,3306,4th Mon,AM,W,Ashby,City Limit,
64,Claremont Ave,2935,3323,4th Fri,AM,E,Ashby,City Limit,
44,Claremont Blvd,2600,2800,4th Wed,AM,E,City Limit,Derby,
24,Claremont Blvd,2700,2728,4th Mon,AM,W,Derby,Garber,
24,Claremont Blvd,2941,2999,4th Mon,AM,N,Oak Knoll,Belrose,
44,Claremont Blvd,2941,2999,4th Wed,AM,S,Oak Knoll,Belrose,
24,Claremont Blvd,2901,2929,4th Mon,AM,E,Claremont Ave,Ashby,
44,Claremont Cresc,2,26,4th Wed,AM,S,Ashby,Claremont,
64,College,2500,3218,4th Fri,PM,W,Dwight,City Limit,
54,College,2501,3199,4th Thurs,PM,E,Dwight,City Limit,
43,Colusa,900,1098,3rd Wed,PM,W,Solano,Madera,1000
,,,,,,,,,1100-
53,Colusa,901,1099,3rd Thurs,PM,E,Solano,Madera,1200
62,Comstock Ct,1500,1598,2nd Fri,PM,W,Jaynes,Cedar,
52,Comstock Ct,1501,1599,2nd Thurs,PM,E,Jaynes,Cedar,
22,Cornell,1196,1598,2nd Mon,PM,W,City Limit,Hopkins,1300-
,,,,,,,,,1400
61,Cornell,1197,1599,1st Fri,PM,E,City Limit,Hopkins,
51,Cornell,1600,1698,1st Thurs,PM,W,Hopkins,Virginia,
41,Cornell,1601,1699,1st Wed,PM,E,Hopkins,Virginia,
22,Cowper,1100,1198,2nd Mon,AM,S,San Pablo,Byron,
22,Curtis,1200,1598,2nd Mon,PM,W,City Limit,Hopkins,1200
61,Curtis,1201,1499,1st Fri,PM,E,City Limit,Hopkins,1300-
,,,,,,,,,1400
41,Curtis,1500,1998,1st Wed,PM,W,Rose,University,
51,Curtis,1501,1999,1st Thurs,PM,E,Rose,University,
22,Curtis,2000,2498,2nd Mon,AM,W,University,Dwight,
61,Curtis,2001,2499,1st Fri,AM,E,University,Dwight,
62,Cypress,1400,1414,2nd Fri,PM,W,Rose,Buena,
52,Cypress,1401,1419,2nd Thurs,PM,E,Rose,Buena,
33,Dana,2300,2499,3rd Tue,PM,E,Bancroft,Dwight,
23,Dana,2398,2450,3rd Mon,PM,W,Bancroft,Dwight,
64,Dana,2500,2698,4th Fri,AM,W,Dwight,Derby,
54,Dana,2501,2699,4th Thurs,AM,E,Dwight,Derby,
