Rte,Street Name,Address,Address,Day of,AM/PM,Side,From,To,Opt-
,,From,To,Month,,,,,out
43,Halcyon Ct,3020,3098,3rd Wed,AM,W,Webster,Prince,
33,Halcyon Ct,3001,3099,3rd Tue,AM,E,Webster,Prince,
32,Harmon,1300,1498,2nd Tue,AM,S,Idaho,Sacramento,
42,Harmon,1301,1499,2nd Wed,AM,N,Idaho,Sacramento,
21,Harmon,1500,1898,1st Mon,AM,S,Sacramento,City Limit,
31,Harmon,1501,1999,1st Tue,AM,N,Sacramento,City Limit,
51,Harper,2900,3199,1st Thurs,AM,W,Russell,Fairview,
41,Harper,2999,3125,1st Wed,AM,E,Russell,Fairview,
22,Harrison,1100,1198,2nd Mon,PM,S,San Pablo,Stannage,
61,Harrison,1101,1199,1st Fri,PM,N,San Pablo,Stannage,
32,Haskell,1200,1398,2nd Tue,AM,S,San Pablo,Acton,
42,Haskell,1201,1399,2nd Wed,AM,N,San Pablo,Acton,
33,Haste,2200,2398,3rd Tue,PM,S,Fulton,Dana,
23,Haste,2201,2399,3rd Mon,PM,N,Fulton,Dana,
63,Hazel,1,91,3rd Fri,AM,N,Claremont,Domingo,
34,Hazel,2,90,4th Tue,AM,S,Claremont,Domingo,
21,Hearst,830,1098,1st Mon,PM,S,6th,San Pablo,
31,Hearst,831,1099,1st Tue,PM,N,6th,San Pablo,
51,Hearst,1100,1498,1st Thurs,PM,S,San Pablo,Sacramento,
41,Hearst,1101,1499,1st Wed,PM,N,San Pablo,Sacramento,
42,Hearst,1500,1998,2nd Wed,PM,S,Sacramento,Milvia,
32,Hearst,1501,1999,2nd Tue,PM,N,Sacramento,Milvia,
23,Hearst,2000,2098,3rd Mon,PM,S,Milvia,Shattuck,
33,Hearst,2001,2099,3rd Tue,PM,N,Milvia,Shattuck,
53,Henry,1200,1398,3rd Thurs,PM,W,Eunice,Rose,
43,Henry,1201,1399,3rd Wed,PM,E,Eunice,Rose,
43,Henry,1400,1598,3rd Wed,PM,W,Rose,Cedar,
53,Henry,1401,1599,3rd Thurs,PM,E,Rose,Cedar,
64,Highland Pl,1800,1898,4th Fri,PM,W,Ridge,Hearst,
54,Highland Pl,1801,1899,4th Thurs,PM,E,Ridge,Hearst,
63,Hillcrest Ct,2,18,3rd Fri,AM,W,Hillcrest,Cul De Sac,
63,Hillcrest Ct,1,19,3rd Fri,AM,E,Hillcrest,Cul De Sac,
34,Hillcrest Rd,0,66,4th Tue,AM,W,Claremont,Eucalyptus,
,,,,,,,,,
,,,Residential Street Sweeping Schedule | Alphabetical by Street Name: H through Z,,,,,,2
,,Address,Address,Day of,,,,,Opt-
Rte,Street Name,From,To,Month,AM/PM,Side,From,To,out
34,Hillcrest Rd,70,222,4th Tue,AM,S,Eucalyptus,Roanoke,
63,Hillcrest Rd,71,223,3rd Fri,AM,N,Eucalyptus,The Uplands,
63,Hillcrest Rd,119,,3rd Fri,AM,N,Hillcrest Ct,Claremont,
63,Hillcrest Rd,254,266,3rd Fri,AM,W,Roanoke,City Limit,200
63,Hillcrest Rd,257,265,3rd Fri,AM,E,Roanoke,City Limit,
54,Hillegass,2500,2698,4th Thurs,AM,W,Dwight,Derby,
64,Hillegass,2501,2699,4th Fri,AM,E,Dwight,Derby,
63,Hillegass,2700,3098,3rd Fri,AM,W,Derby,Woolsey,
34,Hillegass,2701,3099,4th Tue,AM,E,Derby,Woolsey,
34,Hillside Ave,2400,2498,4th Tue,PM,W,Prospect,Dwight,
44,Hillside Ave,2401,2499,4th Wed,PM,E,Prospect,Dwight,
62,Holly,1500,1598,2nd Fri,PM,W,Rose,Cedar,1500
52,Holly,1501,1599,2nd Thurs,PM,E,Rose,Cedar,1400
22,Hopkins,1100,1498,2nd Mon,PM,S,Cedar,Sacramento,
61,Hopkins,1100,1498,1st Fri,PM,N,Sacramento,San Pablo,
61,Hopkins,1400,1498,1st Fri,PM,S,Albina,Hopkins Ct,
22,Hopkins,1401,1499,2nd Mon,PM,N,Albina,Hopkins Ct,
62,Hopkins,1500,1998,2nd Fri,PM,S,Sacramento,Milvia,
52,Hopkins,1501,1999,2nd Thurs,PM,N,Sacramento,Milvia,
23,Howe,2300,2398,3rd Mon,AM,S,Ellsworth,Telegraph,
33,Howe,2301,2399,3rd Tue,AM,N,Ellsworth,Telegraph,
52,Idaho,3124,3204,2nd Thurs,AM,W,66th,City Limit,
62,Idaho,3125,3204,2nd Fri,AM,E,66th,City Limit,
,,,,,,,,,1600-
62,Jaynes,1600,1798,2nd Fri,PM,S,Edith,California,1700
52,Jaynes,1630,1699,2nd Thurs,PM,N,Edith,California,
41,Jefferson,2000,2498,1st Wed,AM,W,University,Dwight,
51,Jefferson,2001,2499,1st Thurs,AM,E,University,Dwight,
21,Jones,830,1098,1st Mon,PM,S,6th,San Pablo,
31,Jones,831,1099,1st Tue,PM,N,6th,San Pablo,
61,Jones,1100,1198,1st Fri,PM,S,San Pablo,Stannage,
22,Jones,1101,1199,2nd Mon,PM,N,San Pablo,Stannage,
52,Josephine,1200,1598,2nd Thurs,PM,W,Hopkins,Cedar,
62,Josephine,1201,1599,2nd Fri,PM,E,Hopkins,Cedar,
