Zoning,the_geom
R-1H,"MULTIPOLYGON (((-122.2735557200153 37.90459608249529, -122.27352403856848 37.9045759527411, -122.27340839945083 37.904524127849164, -122.27331375111423 37.90448023173044, -122.27323842840102 37.9044470202025, -122.27309292267253 37.90437848323214, -122.2729264455747 37.90430269862301, -122.27287014524555 37.904267827931406, -122.27284006927331 37.90424219203694, -122.27279388220128 37.90419549626818, -122.2727510820871 37.90414532937339, -122.27271853061053 37.90408882169845, -122.27269437221516 37.904020514858864, -122.27266825394135 37.90394331372129, -122.27265600940957 37.90386589818502, -122.27264575048387 37.90379944960759, -122.27264378698354 37.903717076533624, -122.27266941306361 37.903556690475696, -122.2726866204221 37.90347883639805, -122.27271442917775 37.90340974749651, -122.27274894669569 37.903330949918846, -122.27278888824584 37.90326168044914, -122.27284772640317 37.90318525567683, -122.27289731121435 37.90308425645312, -122.27311097028996 37.9031037055475, -122.27330188477471 37.90311458183768, -122.27346845125737 37.90312169381658, -122.27363348289495 37.90313706584617, -122.27380707878746 37.90314819540234, -122.27391803463381 37.903149273346045, -122.2740091989901 37.90312043121074, -122.27413302677225 37.90307943650715, -122.27425510372231 37.903038455211444, -122.27437881306716 37.90299333477731, -122.27457999256565 37.90292576431969, -122.27482243882721 37.90284452830028, -122.27486878189268 37.9028252973519, -122.27489141858229 37.90282976028476, -122.27490901701603 37.90284116408124, -122.27493393467137 37.90286825615252, -122.27500711520895 37.90295642966204, -122.27508525882473 37.903034907904875, -122.27514390910565 37.90309583019885, -122.27515664767724 37.90312104644528, -122.27516634425791 37.903164162443936, -122.2751638203293 37.90320334612617, -122.2751370168763 37.903242201828256, -122.27512014071324 37.90326099382641, -122.27509447052674 37.90327511211392, -122.27505333867428 37.903294273851564, -122.27482479057672 37.90337736023565, -122.27468042135835 37.90342828744276, -122.27447413701535 37.903500056784104, -122.27430582381388 37.90356438227225, -122.27411133563362 37.90362224339195, -122.27402874362316 37.90364752071079, -122.27390807021868 37.903674736955416, -122.27378378166219 37.903695834916256, -122.27365761357825 37.90371077662344, -122.27362653244654 37.90371605201814, -122.27360178302325 37.9036958190553, -122.27356156154072 37.90368062928181, -122.27350588015547 37.90367184955842, -122.27345394392968 37.90367469654495, -122.27340917255248 37.90368704178788, -122.2733682491703 37.90371512695924, -122.27334158516759 37.90375946653453, -122.27333929683871 37.903808945221186, -122.2733450003929 37.90383014760596, -122.27337533336798 37.90386608666821, -122.2734158907758 37.90389501148618, -122.27346306804458 37.90391077961082, -122.27352033437754 37.90391403703917, -122.27357893670316 37.90390011018841, -122.27360459715624 37.903885992174914, -122.27364020775384 37.903853181585404, -122.27375770542106 37.90383768348112, -122.27378710598622 37.90383518401109, -122.27391321422544 37.90381749602658, -122.27404770496008 37.903788008588045, -122.27412507852145 37.90376144177875, -122.27415968044066 37.903758856675246, -122.27417716743503 37.90376546189189, -122.27418967258062 37.903781068631105, -122.27418167247863 37.90380865140048, -122.27416505821962 37.90391121723397, -122.27417431002014 37.904007903504514, -122.27419278482681 37.904055693254115, -122.27422912909644 37.90412587976119, -122.27425951243411 37.90416456467684, -122.27429140826901 37.90419361829589, -122.2743215738779 37.904222685573195, -122.27440973689242 37.904285891080846, -122.27432571495284 37.90437591859577, -122.27382466766656 37.90486482811099, -122.27374861988922 37.90476210430409, -122.27370237693029 37.904712670889076, -122.27365635689391 37.904672851054286, -122.2735557200153 37.90459608249529)))"
R-1H,"MULTIPOLYGON (((-122.26997012655193 37.90433193696364, -122.2699422884794 37.904327538160615, -122.2698953443283 37.904321382295066, -122.26985170360736 37.90430830339205, -122.26980437298441 37.904286351848036, -122.26976572504014 37.90426426353297, -122.26972504223163 37.90423054274239, -122.26969828966807 37.904198664530504, -122.26966768976501 37.90415105842177, -122.26965642325791 37.90411483520205, -122.26965180463858 37.90406683060592, -122.26965037812201 37.90400711241728, -122.26966454308608 37.90387436914102, -122.26967871315381 37.90374162183578, -122.26969275655951 37.90360407574012, -122.26970673491324 37.903463783465845, -122.26971739273799 37.90332903512797, -122.26973132996471 37.90318667819142, -122.2697488441139 37.90304907654962, -122.26975937521867 37.9029095253558, -122.2697612519448 37.90284288819309, -122.26976022052936 37.902799638954505, -122.26971919745154 37.90267871249075, -122.26972560047794 37.902655954619185, -122.2698169334024 37.90263398323286, -122.26989993953931 37.902625879598126, -122.27000373029298 37.90261745056771, -122.27006783975843 37.90261648542227, -122.27011148452274 37.90262957643738, -122.27015523554648 37.90264745798417, -122.27019418224084 37.90268120436951, -122.27021215624316 37.90270840444361, -122.27031319342845 37.90294722340492, -122.27036842816128 37.90308305356394, -122.27042570661395 37.90323120568711, -122.27040992398574 37.903368785717376, -122.27039587172887 37.903506331854786, -122.27038534172176 37.90364588310296, -122.27037119688589 37.90377931608559, -122.27035361364086 37.90391416349743, -122.27034298581417 37.904049609665925, -122.27032874380718 37.904106817517295, -122.2703193317959 37.90414816066997, -122.27029595020554 37.90418490717596, -122.27023521576668 37.904254484882514, -122.27016348818631 37.90429950958722, -122.27009987001667 37.904321065013654, -122.27002903614807 37.90433104909944, -122.26997012655193 37.90433193696364)))"
R-1H,"MULTIPOLYGON (((-122.27483512913848 37.903876635047766, -122.27451513282448 37.90418871105312, -122.2744514485312 37.904145197323935, -122.27438370195676 37.904066567814446, -122.2743507634065 37.903993579520886, -122.27433568411229 37.90394298789963, -122.2743410826467 37.90387904513839, -122.27436347937052 37.90380111735662, -122.27438177575803 37.90376856481531, -122.27443894234821 37.90369491527207, -122.2744951844509 37.903654939290426, -122.27454986788105 37.90362252178063, -122.27460475695327 37.90359835093589, -122.27467010869638 37.903576767244815, -122.27483338846271 37.903519378072225, -122.27501909199036 37.90345684615466, -122.27514978475585 37.90341367415099, -122.27518579583565 37.90339734423439, -122.27523186303928 37.90336712430801, -122.27525220666058 37.90334759115668, -122.27529443560049 37.90330163543441, -122.27531592617515 37.90325805037837, -122.27532754608146 37.90323658566917, -122.27533858257365 37.90319109896892, -122.27533874280674 37.90312517306269, -122.27533069239902 37.903078599511076, -122.27527512003948 37.903001838115905, -122.27517937787547 37.902911944076465, -122.27544487082999 37.902780236468764, -122.27569411367222 37.90262061363433, -122.27574101924148 37.90269749590611, -122.2757979445873 37.90275844376651, -122.27584240587635 37.90280584968455, -122.2759080637417 37.90286940636731, -122.27595230708806 37.90290720273164, -122.27602309097014 37.90296793154992, -122.27613042128786 37.90303498500752, -122.27619870581539 37.903063491305396, -122.27627387060849 37.90308982540772, -122.27633500386575 37.903109514976045, -122.2763819478268 37.903115668271894, -122.2764533103846 37.90312833114398, -122.27652104917566 37.90313417824685, -122.27658176358383 37.90313601151673, -122.27663020948451 37.903132533327636, -122.27668565736921 37.90313169791155, -122.27675116099505 37.903116980448175, -122.27685450857521 37.903090019850744, -122.27701830937681 37.9030539075172, -122.27718203097936 37.90301436326827, -122.27735262230453 37.90297265056241, -122.27746643219096 37.9029482763634, -122.27756111223016 37.90292144444492, -122.2776303200704 37.90291628439419, -122.27768949991275 37.9029263774343, -122.27772996060303 37.902951179496256, -122.27778862325701 37.90301210055748, -122.27781564022561 37.903054949489274, -122.2778339589834 37.9030958793813, -122.2778438203913 37.90314585857751, -122.27727276202654 37.90329031276644, -122.27571767698518 37.90366535212665, -122.27540073517712 37.903745226932266, -122.27516076206241 37.90380004776131, -122.27499376408117 37.90384352339597, -122.27483512913848 37.903876635047766)))"
R-1H,"MULTIPOLYGON (((-122.26897704116082 37.90397256657226, -122.2684624213411 37.90368912220905, -122.26830084091895 37.90360020858136, -122.26813579506018 37.903511346187926, -122.26798644066317 37.90342636926282, -122.26778274689164 37.90331611911548, -122.26779125166577 37.90330912711709, -122.26754193230889 37.903175523374955, -122.26753316442557 37.90317084521061, -122.26729274538731 37.90304672198497, -122.26711707229929 37.90294840285355, -122.26693944211756 37.90284050771828, -122.26692732806407 37.902841373211956, -122.26677804130996 37.90275914094599, -122.26664797639162 37.90268348913116, -122.26646174543313 37.90257846391105, -122.26622127551241 37.9024515924124, -122.26597879615527 37.90231376536981, -122.26578547341128 37.902201978465214, -122.26558875545365 37.9020929888326, -122.26570717963115 37.90182546961815, -122.26582202632196 37.901553190790615, -122.26590172297513 37.90155200067402, -122.26596053302592 37.90154700164465, -122.26600029427948 37.90154228937572, -122.26608280293446 37.901513585965404, -122.26614970458098 37.90148443233666, -122.26619236480076 37.90145632805312, -122.26624872068454 37.901421146607056, -122.26631616086233 37.90134185855371, -122.2663540099155 37.901257519070015, -122.2663687222512 37.901220212324596, -122.266385564216 37.90119936913877, -122.2664148069464 37.90119000001257, -122.26643763717927 37.90120270714218, -122.26649527175168 37.90136664448869, -122.26652764069918 37.90148839014423, -122.26654588796448 37.90152657150552, -122.2665694558921 37.901570172108656, -122.26658222372755 37.90159676031633, -122.26663052834695 37.90166058715147, -122.26665029258521 37.90168981870618, -122.26668933442627 37.90172769158018, -122.26676342663522 37.90178220063862, -122.26679867328163 37.90180639398632, -122.26684259031892 37.90183114424956, -122.2668865176222 37.90185589456037, -122.266917958701 37.901866416433464, -122.26692332729334 37.90187319870639, -122.26700547876051 37.901902181992114, -122.26704565687157 37.90191531744552, -122.26706718752675 37.901946583769366, -122.2670681251547 37.90198571176401, -122.26706564832762 37.90202694373054, -122.26706478042047 37.902063359324956, -122.26707611025411 37.90210232896327, -122.26709799965484 37.90214800773825, -122.26711108199446 37.90218833075197, -122.26713801038281 37.90222706899158, -122.26716996242523 37.902258862543924, -122.26719492824887 37.90228801688558, -122.26722319250837 37.90231025229991, -122.26721641460378 37.90231654119076, -122.26735342474281 37.90239277097803, -122.26746935173178 37.90245764702089, -122.26763079034087 37.902540375830334, -122.26778895825952 37.90263139844187, -122.26792081442221 37.90270976940996, -122.26806479517585 37.90278727063056, -122.26821050145415 37.902864745901425, -122.26834755982446 37.90294303111812, -122.26848807572063 37.90302057923142, -122.26863211743773 37.90310083401917, -122.26884120808108 37.90321924403242, -122.26902215393665 37.90332090692502, -122.26919955575764 37.90341919339628, -122.26934697768188 37.90349527055514, -122.26944891999602 37.90355485831244, -122.26941878756972 37.9038897241394, -122.2694000757862 37.90405000636279, -122.26940122842639 37.90409805840211, -122.26941847089039 37.90416715441292, -122.26942409973836 37.90418492937605, -122.26941235662224 37.90420158256015, -122.26938981735779 37.904201235805196, -122.26897704116082 37.90397256657226)))"
R-1H,"MULTIPOLYGON (((-122.27198199669003 37.90387601960849, -122.27191891952438 37.90384743357765, -122.27186590427493 37.90380496595324, -122.27181774103687 37.903748008593745, -122.2717935733468 37.903679701511656, -122.27179373671085 37.90361377970363, -122.271812968891 37.90347546644802, -122.27184791457208 37.90334240936477, -122.27186393695361 37.90328723617055, -122.2718917463603 37.903218151523845, -122.27190735778413 37.90314649710182, -122.27191185688636 37.903116901436746, -122.27190964704363 37.9030970184471, -122.27189743083385 37.903020977913044, -122.27188259139557 37.90297999968523, -122.27185556252148 37.90293715338698, -122.27182886948593 37.90290801773371, -122.27179323021102 37.902867348835855, -122.27206478697346 37.90269847450873, -122.27232880114273 37.90250430155686, -122.27244901913797 37.902602748746475, -122.27257270673152 37.90270182968082, -122.27262220440403 37.90274229197286, -122.27266126357264 37.90278085246529, -122.2726933724282 37.902818822464795, -122.2727117431897 37.90286249518033, -122.2727267612108 37.90291033680836, -122.27273500524167 37.90296515309676, -122.27272932108279 37.90301741740123, -122.27271997562772 37.90306151099711, -122.27270363351941 37.903102953484314, -122.27267168745388 37.90314464023131, -122.27263828681807 37.903197333508565, -122.27259487938831 37.90326665045619, -122.27256679644395 37.9033240691259, -122.27254704831284 37.90336831336867, -122.27252913333824 37.903416645007766, -122.27251803847265 37.903460082900544, -122.27250544126784 37.90351313995325, -122.27249099193848 37.903561432169234, -122.27248645198104 37.903588959149296, -122.27248234018026 37.90363434642186, -122.27247597723797 37.903730575337605, -122.27247745741019 37.90379235417729, -122.2724794207257 37.90387472725111, -122.27249297743127 37.903934264879666, -122.27253053983593 37.904055246042766, -122.2725361831928 37.904073702322854, -122.27252800423562 37.90409442958469, -122.27250213448318 37.90409962332936, -122.27247602150698 37.904095207397575, -122.27236733959198 37.90404395985274, -122.27219750941056 37.9039730407123, -122.27198199669003 37.90387601960849)))"
R-1H,"MULTIPOLYGON (((-122.26914800735503 37.903147350335146, -122.26899883371584 37.903069927691845, -122.26885121461258 37.90298493018866, -122.26870717283683 37.90290467972288, -122.26857017398396 37.90282914106315, -122.26842439732494 37.90274892002835, -122.26828389228545 37.902671367849585, -122.26814341483237 37.90259519464353, -122.26799940703809 37.9025163184367, -122.26785877652443 37.90243395480317, -122.26771651839769 37.90235574617221, -122.26756901840083 37.90227554985927, -122.26741802900482 37.90219472327474, -122.26737379557483 37.9021569278344, -122.26732217619946 37.90210002418506, -122.26730343650286 37.9020412445756, -122.26730190088102 37.90197671955503, -122.26732719123318 37.90194680735525, -122.26734949739912 37.90193755299506, -122.26746865867588 37.90191928518517, -122.26757209669933 37.901895760447026, -122.26763243728891 37.90188250440572, -122.26772325559685 37.90183856527497, -122.26777455840407 37.90180965030405, -122.26782401136416 37.90177525659713, -122.26788328049189 37.901716690576585, -122.26791882245342 37.90168113957088, -122.26796078153774 37.90162351629283, -122.26799396263617 37.901561210749755, -122.26801376763575 37.901519717446796, -122.2682464396844 37.90160962101286, -122.2684825865772 37.901700162196455, -122.26846947565983 37.901731947061215, -122.26845453189658 37.901759636351095, -122.26844495165096 37.90179411592305, -122.26844209436084 37.901819568531394, -122.26843940465702 37.9018518764679, -122.26843172733382 37.90189319376179, -122.26844125232374 37.9019294468421, -122.2684493768644 37.90197945657148, -122.26846763893279 37.90201832315685, -122.26847700668016 37.902047712858256, -122.26849678548355 37.90207762556775, -122.26852186283035 37.90211159049168, -122.26855028475008 37.902140684911366, -122.26857156649503 37.90216097038914, -122.26860336692339 37.90218590427069, -122.26869829665452 37.902242163914224, -122.26883290941028 37.90229027451602, -122.26898868797602 37.90235386759019, -122.26914429424036 37.90241058482341, -122.2693104894824 37.90247470856992, -122.26935948765214 37.902494569765864, -122.26942982430346 37.902536781013815, -122.26944752946673 37.902552311025474, -122.26953077039185 37.90262660249647, -122.26957031543714 37.902685746105995, -122.2695994630917 37.90274505230448, -122.26961646421564 37.90280385726304, -122.26961940724324 37.902854625633246, -122.26961693404608 37.902968651003555, -122.26960299664717 37.90311100792994, -122.26958226494457 37.90333174544745, -122.26956904307337 37.90335871957105, -122.26953445490133 37.903361988838924, -122.2695115994904 37.90334860078075, -122.26932021788909 37.90324571389743, -122.26914800735503 37.903147350335146)))"
R-1H,"MULTIPOLYGON (((-122.26946690981852 37.9008222510216, -122.26924349871207 37.900684135322386, -122.26927184826137 37.90063769811078, -122.26928311204453 37.90060113612567, -122.26929241292503 37.900554994339906, -122.26929521858301 37.90052748104123, -122.26929434983877 37.9004911033047, -122.26929130973357 37.90043620550849, -122.26926345733492 37.900358347951936, -122.26921828527298 37.90028142519499, -122.2696375452391 37.900056087926934, -122.26983382863853 37.899928854723946, -122.26998406144094 37.89983321411345, -122.27012417230006 37.89974871264208, -122.27025197768525 37.89965753187853, -122.27072651355618 37.89935239089893, -122.27082064212222 37.899447113083056, -122.27093420076406 37.89955734727953, -122.27095370604444 37.89957558937902, -122.2709808957391 37.899625307410915, -122.27098880269946 37.89966639289798, -122.27098956441557 37.8996986573934, -122.27098150358567 37.89972350192467, -122.27096175554715 37.89976774187295, -122.27080535952712 37.89989575539657, -122.27077136353215 37.899923732539364, -122.27056577309281 37.90009642779598, -122.2704433720411 37.900196455627096, -122.27031749978363 37.900296542924444, -122.27020208928074 37.90039921765409, -122.27009561038489 37.90051274822995, -122.26999427595601 37.90062412859658, -122.26989279227733 37.90072934314295, -122.26979503916056 37.90084548676724, -122.2696868287767 37.90095903460819, -122.26946690981852 37.9008222510216)))"
R-1H,"MULTIPOLYGON (((-122.2765195616225 37.902999614149635, -122.27642045904656 37.90298667533426, -122.27631758670594 37.90296144854214, -122.27623521579648 37.90292353953915, -122.27618604730037 37.9028968096397, -122.2761438653497 37.9028727305615, -122.27609066639239 37.90282271181186, -122.27603575596787 37.90277341255351, -122.27598272532484 37.902730261246056, -122.27592916773317 37.90266514861464, -122.2758397457557 37.90254975060751, -122.27578232107878 37.902468212492195, -122.27575881258792 37.902427363910235, -122.27572977169042 37.90237286192952, -122.27571152105419 37.90233399652787, -122.27570203362545 37.90229980865316, -122.27565034805842 37.90216805046528, -122.27599560506721 37.90210997865584, -122.27632706872107 37.90205487503616, -122.27634213017876 37.902104776827805, -122.27635519532645 37.902143711647916, -122.27637702010196 37.902186646606914, -122.27640093056262 37.902243972168385, -122.2764278347189 37.902282026779694, -122.27645455352024 37.90231183076345, -122.27649928111919 37.902370217104625, -122.2765402356488 37.90241560981293, -122.27655603866535 37.90242429305943, -122.27661798879414 37.902477614076524, -122.27666739069998 37.902513953403414, -122.27674641243067 37.902556712531926, -122.27682183283274 37.90259403094155, -122.27703509927628 37.902669797343165, -122.27736543845236 37.902784301197094, -122.27737443696994 37.902797906846395, -122.27736632483123 37.902821376580825, -122.27734066545659 37.90283549542809, -122.2770459273722 37.90290447926766, -122.27676857444 37.90297525640347, -122.27669092780445 37.90299015882548, -122.2765195616225 37.902999614149635)))"
R-1H,"MULTIPOLYGON (((-122.27344095092155 37.902986137692196, -122.27323778212238 37.90297064753205, -122.27295303578217 37.902950207987736, -122.27292514661444 37.902943753288916, -122.27290754334925 37.90293234916728, -122.27290700362686 37.902909690183265, -122.27289400028863 37.902873488977306, -122.27288089062213 37.902832489111766, -122.27286262602709 37.902793623190654, -122.27283895629971 37.902745906582915, -122.27282639158048 37.90272755761634, -122.27277293451914 37.90266655675331, -122.27274109131758 37.9026395633876, -122.27269694739115 37.90260589117581, -122.27262103568809 37.902547975841856, -122.2725874519459 37.90252101629175, -122.27250600508705 37.90244876189843, -122.27243526587519 37.90239007942396, -122.27238219478888 37.90234555944913, -122.27231126212887 37.90227795296263, -122.27226695582851 37.902237421241765, -122.2721552944578 37.902134021929974, -122.27205037806985 37.90202298661433, -122.27194716491167 37.90191055032437, -122.27185097615246 37.901802119907735, -122.27174941868759 37.901686903300714, -122.27165133746993 37.90157163916811, -122.27151237590094 37.9014137186349, -122.27137502870579 37.901250977481254, -122.27136418978333 37.90123260253775, -122.27136550235468 37.90121472462035, -122.27138947820582 37.901202693497375, -122.27160089343596 37.901128791425464, -122.27165768484718 37.90111145555667, -122.271787290572 37.9010957828619, -122.27189141972039 37.90110108310528, -122.27193836188951 37.901107250325374, -122.27205704590953 37.90114186243604, -122.27213076468516 37.901180584737176, -122.27219237492199 37.90122017306354, -122.27222590141116 37.90124507608862, -122.27229381091743 37.90133057837699, -122.27238837565264 37.901443841016736, -122.27244908847472 37.90151846976026, -122.27248478408616 37.901561186990705, -122.27253824012271 37.90162218798539, -122.27258448039508 37.90167162185582, -122.27269117359721 37.90178469963434, -122.27280458960674 37.901888746044726, -122.27286301941758 37.901940059942696, -122.27291619673285 37.901989390529096, -122.27303474945217 37.902090613170564, -122.27313205542757 37.902173619707874, -122.27314970998049 37.902187080399955, -122.2732820749767 37.90228603978385, -122.27341604900498 37.90238016633619, -122.27355869553621 37.902474159696105, -122.27358679889734 37.90248953425265, -122.27371763366311 37.90259743888999, -122.27377782759464 37.90265009757366, -122.27382575341875 37.90269744045381, -122.27387227117723 37.90275785861114, -122.27397247007501 37.90288888664731, -122.27397855612813 37.90292587244919, -122.27396546107796 37.902958343455076, -122.27392481777795 37.90299809906551, -122.27387326444024 37.903016725629904, -122.27379866461155 37.90301373050715, -122.27367705099208 37.90300182261304, -122.27344095092155 37.902986137692196)))"
R-1H,"MULTIPOLYGON (((-122.27506173619183 37.902776380702655, -122.27501890283395 37.902724831388056, -122.27496869525528 37.90265485983984, -122.27489818826328 37.902533688627635, -122.27483449799206 37.90240692587533, -122.27477605046754 37.902282134059185, -122.2747436371841 37.902231808802476, -122.27468835588328 37.902166717431875, -122.27467947963117 37.902157922500976, -122.27457130809361 37.90205585699361, -122.27452562024399 37.90202976433401, -122.27449745164415 37.90201164788271, -122.27443242521305 37.901974168992524, -122.27429512888315 37.9018862771361, -122.27415618146841 37.90180184263995, -122.27402752018465 37.901712442241966, -122.27390208662577 37.90161338449455, -122.27378019451842 37.90151702123123, -122.27365817594531 37.90141585094691, -122.27359075341512 37.90135093559254, -122.27355521158587 37.901314388503366, -122.27346991193072 37.90122640695629, -122.27345740736193 37.90121080013984, -122.27346052855545 37.90119633211523, -122.27349649270857 37.901177933962764, -122.27353757744518 37.90115671618169, -122.2737078857014 37.901030557274986, -122.27394601599276 37.900841570467996, -122.27406645641142 37.900949629631626, -122.2741143914939 37.900996980572685, -122.2741816548327 37.9010557095658, -122.274291215075 37.901143337268856, -122.27441127054851 37.90123492313051, -122.27454190019131 37.90133390286162, -122.27467391056948 37.90141844422279, -122.27481450061792 37.90149873510158, -122.27511466368291 37.901656963289795, -122.27519719054271 37.901701732382705, -122.27532076520747 37.90179533038141, -122.2753886925714 37.90188151643145, -122.27541388470765 37.901920274553866, -122.27542861432386 37.901956449616414, -122.27545299934593 37.90203368006422, -122.27546700085087 37.9021117550861, -122.27547118047717 37.902141217755485, -122.27548082054773 37.9021822730452, -122.27549951022884 37.90223899072735, -122.27554785682771 37.90237559537822, -122.27557543679207 37.902441789371856, -122.2756097149331 37.902498274458544, -122.27565137784195 37.90257317772052, -122.27569411367222 37.90262061363433, -122.27542521087234 37.902755123651815, -122.27515970769811 37.902886835208804, -122.27506173619183 37.902776380702655)))"
